,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
264,264,8.98,651.9192212,0.0,0.0,9,134.8822915,36.13106409,-0.6602776874708649
265,265,9.55,651.9192212,0.0,0.0,21,134.9000677,36.13106409,-0.5568977699544574
266,266,26.16,651.9192212,0.0,0.0,34,134.9178439,36.13106409,-0.4449028593116825
267,267,18.57,651.9192212,0.0,0.0,28,134.9356202,36.13106409,-0.4965928180698863
268,268,18.66,651.9192212,0.0,0.0,25,134.9533964,36.13106409,-0.5224377974489882
269,269,8.05,1079.550007,0.0,0.0,21,134.9711726,36.13106409,-0.5568977699544574
270,270,0.0,1180.169016,0.0,0.0,11,134.9889488,36.13106409,-0.6430477012181304
271,271,7.38,747.9646384,39.0,0.0,11,135.0067251,36.13106409,-0.6430477012181304
272,272,10.75,1180.169016,0.0,0.0,24,135.0245013,36.13106409,-0.5310527905753555
273,273,136.74,1180.169016,0.0,0.0,13,135.0422775,36.13106409,-0.6258177149653957
274,274,371.35,0.0,0.0,0.0,325,135.0600537,36.13106409,2.062060140461201
275,275,270.85,0.0,204.0,0.0,488,135.07783,36.13106409,3.4663040200590705
276,276,18.09,381.9332153,0.0,0.0,26,135.0956062,36.13106409,-0.5138228043226208
277,277,19.71,401.6804765,0.0,0.0,30,135.1133824,36.13106409,-0.4793628318171517
278,278,6.24,414.8453173,0.0,0.0,10,135.1311586,36.13106409,-0.6516626943444976
279,279,8.56,414.8453173,0.0,0.0,14,135.1489349,36.13106409,-0.6172027218390285
280,280,21.65,414.8453173,0.0,0.0,25,135.1667111,36.13106409,-0.5224377974489882
281,281,28.36,414.8453173,0.0,0.0,37,135.1844873,36.13106409,-0.41905787993258065
282,282,20.3,414.8453173,0.0,0.0,24,135.2022635,36.13106409,-0.5310527905753555
283,283,17.3,414.8453173,0.0,0.0,20,135.2200397,36.13106409,-0.5655127630808247
284,284,94.71,414.8453173,0.0,0.0,40,135.237816,36.13106409,-0.39321290055347874
285,285,82.2,386.5611724,0.0,1786250.0,111,135.2555922,36.13106409,0.21845161141859934
286,286,75.57,349.8942476,0.0,0.0,115,135.2733684,36.13106409,0.25291158392406854
287,287,28.23,170.5634658,0.0,0.0,29,135.2911446,36.13106409,-0.487977824943519
288,288,16.08,190.479487,0.0,0.0,19,135.3089209,36.13106409,-0.5741277562071919
289,289,3.3,170.5634658,0.0,0.0,8,135.3266971,36.13106409,-0.6688926805972323
290,290,3.83,170.5634658,0.0,0.0,2,135.3444733,36.13106409,-0.720582639355436
291,291,1.15,170.5634658,0.0,0.0,4,135.3622495,36.13106409,-0.7033526531027015
292,292,0.0,170.5634658,0.0,0.0,1,135.3800258,36.13106409,-0.7291976324818034
293,293,1.15,170.5634658,0.0,0.0,3,135.397802,36.13106409,-0.7119676462290687
294,294,0.0,170.5634658,0.0,0.0,4,135.4155782,36.13106409,-0.7033526531027015
295,295,1.18,170.5634658,0.0,0.0,1,135.4333544,36.13106409,-0.7291976324818034
296,296,0.0,0.0,0.0,0.0,0,135.4511307,36.13106409,
297,297,1.15,170.5634658,0.0,0.0,1,135.4689069,36.13106409,-0.7291976324818034
298,298,0.0,0.0,0.0,0.0,0,135.4866831,36.13106409,
299,299,0.0,0.0,0.0,0.0,0,135.5044593,36.13106409,
300,300,0.0,0.0,0.0,0.0,0,135.5222356,36.13106409,
301,301,0.0,170.5634658,0.0,0.0,1,135.5400118,36.13106409,-0.7291976324818034
302,302,1.0,0.0,0.0,0.0,1,135.557788,36.13106409,-0.7291976324818034
303,303,0.0,0.0,0.0,0.0,0,135.5755642,36.13106409,
304,304,1.15,0.0,0.0,0.0,1,135.5933404,36.13106409,-0.7291976324818034
305,305,4.48,0.0,0.0,0.0,4,135.6111167,36.13106409,-0.7033526531027015
306,306,2.5,0.0,0.0,0.0,2,135.6288929,36.13106409,-0.720582639355436
307,307,1.25,0.0,0.0,0.0,2,135.6466691,36.13106409,-0.720582639355436
308,308,0.0,0.0,0.0,0.0,0,135.6644453,36.13106409,
